"Plot-Titel: SOS 1 West March 2026"
"Anz.","Datum Zeit, GMT+01:00","Wassergehalt, m³/m³ (LGR S/N: 22429151, SEN S/N: 22382326, LBL: Soil moisture 10cm)","Temp., °C (LGR S/N: 22429151_duplicate, SEN S/N: 22332514, LBL: Temperature)","RH, % (LGR S/N: 22429151_duplicate, SEN S/N: 22332514, LBL: Air humidity)","Wassergehalt, m³/m³ (LGR S/N: 22429151_duplicate, SEN S/N: 22382324, LBL: Soil moisture 5cm)","Wassergehalt, m³/m³ (LGR S/N: 22429151_duplicate, SEN S/N: 22382324, LBL: Soil moisture 5cm)","Windrichtung, ø (LGR S/N: 22429151_duplicate, SEN S/N: 22407863, LBL: Wind direction)","Windgeschwindigkeit, m/s (LGR S/N: 22429151_duplicate, SEN S/N: 22427869, LBL: Wind speed)","Böengeschwindigkeit, m/s (LGR S/N: 22429151_duplicate, SEN S/N: 22427869, LBL: Gust speed)"
1,03.16.26 01:46:53 PM,0.0228,33.043,34.090,0.0301,0.0301,251.3,5.03,8.05
2,03.16.26 01:47:53 PM,0.0228,32.657,34.911,0.0301,0.0301,238.7,5.03,7.05
3,03.16.26 01:48:53 PM,0.0228,32.743,34.765,0.0301,0.0301,261.1,5.54,7.05
4,03.16.26 01:49:53 PM,0.0228,32.636,34.846,0.0301,0.0301,238.7,5.54,7.05
5,03.16.26 01:50:53 PM,0.0228,32.443,35.184,0.0301,0.0301,230.2,3.52,5.03
6,03.16.26 01:51:53 PM,0.0228,32.636,34.946,0.0301,0.0301,256.9,4.53,5.54
7,03.16.26 01:52:53 PM,0.0228,32.765,34.737,0.0301,0.0301,254.1,4.03,5.03
8,03.16.26 01:53:53 PM,0.0235,32.786,34.765,0.0301,0.0301,268.1,6.54,8.05
9,03.16.26 01:54:53 PM,0.0228,32.593,35.024,0.0301,0.0301,251.3,5.03,7.05
10,03.16.26 01:55:53 PM,0.0228,32.186,35.692,0.0301,0.0301,252.7,4.03,6.04
11,03.16.26 01:56:53 PM,0.0228,32.614,34.824,0.0301,0.0301,262.5,5.03,6.54
12,03.16.26 01:57:53 PM,0.0235,32.593,34.792,0.0301,0.0301,262.5,5.54,7.55
13,03.16.26 01:58:53 PM,0.0235,32.743,34.430,0.0315,0.0315,249.9,4.53,6.04
14,03.16.26 01:59:53 PM,0.0235,32.679,34.685,0.0315,0.0315,259.7,5.03,6.54
15,03.16.26 02:00:53 PM,0.0235,32.722,34.536,0.0315,0.0315,262.5,4.53,6.54
16,03.16.26 02:01:53 PM,0.0235,32.700,34.672,0.0315,0.0315,244.3,4.53,6.04
17,03.16.26 02:02:53 PM,0.0235,32.700,34.453,0.0315,0.0315,256.9,5.03,7.05
18,03.16.26 02:03:53 PM,0.0235,32.743,34.321,0.0315,0.0315,255.5,4.03,5.03
19,03.16.26 02:04:53 PM,0.0235,32.829,34.511,0.0315,0.0315,251.3,4.53,6.04
20,03.16.26 02:05:53 PM,0.0235,32.314,35.463,0.0315,0.0315,228.8,4.03,6.54
