Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Sep 2020";15.8;8.3;21.6;0;2.7;289.3944554694;6.5;294.8;;13.4;894.2;276.5;23.89;145.4
"02 Sep 2020";15;5.2;23.9;0;1.3;276.39373053171;4.2;300.8;;17.3;896;279.3;24.13;145.5
"03 Sep 2020";21.1;9.8;30.6;0;2.5;296.45582498069;8.4;305.3;;4.7;897.6;271.4;23.45;145.5
"04 Sep 2020";22.8;14;30.4;0;1.2;227.66562623635;4.9;219.7;;10.1;900.5;148.2;12.8;145.7
"05 Sep 2020";22.4;16.6;28.7;0;1.4;224.86652363364;5.7;332.5;;13.2;899.1;218.2;18.85;146
"06 Sep 2020";24.5;17.2;31.9;0;1.2;272.53378618273;5.2;323.6;;16.4;894.9;261.3;22.58;146.4
"07 Sep 2020";26.3;19.4;34.1;0;1.4;256.46560529509;6;267.9;;19.1;896;264.2;22.82;146.8
"08 Sep 2020";27.2;20.5;34.8;0;1.1;201.73540471722;6.4;197.3;;15.6;899.1;268.4;23.19;146.7
"09 Sep 2020";27.6;21.2;33.5;0;2;85.102988775216;6.2;28.63;;9.9;900.4;280.8;24.26;146.4
"10 Sep 2020";28.2;23.7;33.5;0;1.3;80.879669017856;7.8;181.4;;9.2;898.8;277.6;23.99;146.4
"11 Sep 2020";27;19.4;34;0;1.3;283.44850461004;6.7;236.8;;9.6;896.6;281.1;24.29;146.3
"12 Sep 2020";25.4;18.7;32.9;0;2.7;288.91722817935;8;279.4;;15.3;897.6;276.9;23.92;146.2
"13 Sep 2020";21.9;14.8;29.8;0;2;193.2609055052;6.6;183.9;;25.1;898.3;272.7;23.56;146.3
"14 Sep 2020";20.5;12.8;27.8;0;2.1;238.76398992919;5.6;257.2;;15.7;897;282.4;24.4;145.9
"15 Sep 2020";16.8;9;24.7;0;1.6;236.3169465841;4.6;234.1;;17.3;896.5;305;26.35;145.5
"16 Sep 2020";17.6;6.3;27.3;0;1.6;192.93874535409;5.8;196.7;;25.4;897;301.3;26.04;146.1
"17 Sep 2020";22.7;13.4;31.2;0;1.6;213.28286435001;6;213.1;;10.4;896.5;300.4;25.96;145.9
"18 Sep 2020";24;16.3;32.5;0;1.6;224.99443454829;5.3;203.1;;9.2;897.4;300;25.92;146
"19 Sep 2020";24.6;17.5;33.6;0;1.7;241.52009374818;6.3;229.1;;11.5;896.9;301.4;26.04;146.1
"20 Sep 2020";21.8;13.8;30.3;0;3.2;185.55024133433;7.2;179.8;;15.2;896.6;312.2;26.97;146
"21 Sep 2020";23.5;14.7;30.1;0;2.8;92.632988960659;5.8;113.9;;12.2;896.7;307.2;26.54;146.1
"22 Sep 2020";25.9;18.9;32.9;0;1.8;113.44019435177;5.4;80.3;;8;897.9;299.4;25.87;146.1
"23 Sep 2020";26.9;18.9;35.1;0;0.6;196.94579107019;5.8;251.4;;13;896.5;277.4;23.96;146.4
"24 Sep 2020";22.8;16;32.1;0;2.3;291.86585474027;6.1;277.8;;28.3;895.9;264.6;22.86;146.7
"25 Sep 2020";20.4;14.4;27.7;0;1.7;256.40663823871;5;216.5;;25;896.2;287.2;24.82;146.5
"26 Sep 2020";19.6;10.5;28.1;0;2.8;192.0909422105;6.4;181.1;;17.3;895.2;321.9;27.81;146
"27 Sep 2020";18;6.7;26.3;0;3;191.57954586663;7.7;184.5;;13.4;894.9;325.5;28.13;145.5
"28 Sep 2020";19.9;11.9;28;0;2.3;182.51507858902;6.3;195;;8;896.6;326.6;28.22;145.5
"29 Sep 2020";22.8;16.4;29.3;0;2.6;119.3031327638;6.2;104.9;;6.7;896.9;326.6;28.22;145.7
"30 Sep 2020";20.7;11.3;27.3;0;2.5;286.59086504196;7.3;275.6;;18.4;894.9;323.9;27.99;145.9
